pid,content_model,collection_pid,page_of,sequence,constituent_of
imagined:209384,islandora:sp_large_image_cmodel,imagined:cummins,,,
imagined:209297,islandora:sp_large_image_cmodel,imagined:cummins,,,
imagined:209049,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208309,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208826,islandora:sp_large_image_cmodel,imagined:cummins,,,
imagined:208295-p_030,islandora:pageCModel,imagined:208295,imagined:208295,36,
imagined:208379,islandora:sp_large_image_cmodel,imagined:meachams,,,
imagined:208970,islandora:sp_large_image_cmodel,imagined:meachams,,,
imagined:209055,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208462,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208613,islandora:sp_large_image_cmodel,imagined:4458_collection,,,
imagined:208969,islandora:sp_large_image_cmodel,imagined:meachams,,,
imagined:208295-p_034,islandora:pageCModel,imagined:208295,imagined:208295,40,
imagined:208650,islandora:sp_basic_image,,,,
imagined:208543,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208720,islandora:sp_large_image_cmodel,imagined:roebros,,,
imagined:209216,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208296-p_069,islandora:pageCModel,imagined:208296,imagined:208296,75,
imagined:208706,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208975,islandora:sp_large_image_cmodel,imagined:meachams,,,
imagined:208465,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208722,islandora:sp_large_image_cmodel,imagined:roebros,,,
imagined:209236,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208295-p_024,islandora:pageCModel,imagined:208295,imagined:208295,30,
imagined:208783,islandora:sp_large_image_cmodel,imagined:cummins,,,
imagined:209262,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208350,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208386,islandora:sp_large_image_cmodel,imagined:meachams,,,
imagined:208497,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208859,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208295-p_027,islandora:pageCModel,imagined:208295,imagined:208295,33,
imagined:209214,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208995,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208296-p_005,islandora:pageCModel,imagined:208296,imagined:208296,11,
imagined:208296-p_039,islandora:pageCModel,imagined:208296,imagined:208296,45,
imagined:208531,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208742,islandora:sp_large_image_cmodel,imagined:roebros,,,
imagined:map44,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:209424,islandora:sp_large_image_cmodel,imagined:cummins,,,
imagined:208423,islandora:sp_basic_image,,,,
imagined:209076,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208904,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:209279,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208810,islandora:sp_large_image_cmodel,imagined:cummins,,,
imagined:208408,islandora:sp_basic_image,,,,
imagined:208295-f_004,islandora:pageCModel,imagined:208295,imagined:208295,5,
imagined:208887,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208296-p_020,islandora:pageCModel,imagined:208296,imagined:208296,26,
imagined:209175,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:209157,islandora:sp_large_image_cmodel,imagined:collection,,,
imagined:208587,islandora:sp_basic_image,,,,
